year,month,day,obs_time,SO2,NO2,PM10,PM25,CO2,O3
2010,6,26,13,99999,19,99999,99999,99999,99999
2010,6,26,14,99999,18,99999,99999,99999,99999
2010,6,26,15,99999,18,99999,99999,99999,99999
2010,6,26,16,99999,18,99999,99999,99999,99999
2010,6,26,17,99999,20,99999,99999,99999,99999
2010,6,26,18,99999,20,99999,99999,99999,99999
2010,6,26,19,99999,20,99999,99999,99999,99999
2010,6,26,20,99999,20,99999,99999,99999,99999
2010,6,26,21,99999,26,99999,99999,99999,99999
2010,6,26,22,99999,48,99999,99999,99999,99999
2010,6,26,23,99999,40,99999,99999,99999,99999
2010,6,27,0,99999,26,99999,99999,99999,99999
2010,6,27,1,99999,26,99999,99999,99999,99999
2010,6,27,2,99999,23,99999,99999,99999,99999
2010,6,27,3,99999,26,99999,99999,99999,99999
2010,6,27,4,99999,14,99999,99999,99999,99999
2010,6,27,5,99999,13,99999,99999,99999,99999
2010,6,27,6,99999,23,99999,99999,99999,99999
2010,6,27,7,99999,22,99999,99999,99999,99999
2010,6,27,8,99999,16,99999,99999,99999,99999
2010,6,27,9,99999,19,99999,99999,99999,99999
2010,6,27,10,99999,20,99999,99999,99999,99999
2010,6,27,11,99999,19,99999,99999,99999,99999
2010,6,27,12,99999,16,99999,99999,99999,99999
2010,6,27,13,99999,16,99999,99999,99999,99999
2010,6,27,14,99999,16,99999,99999,99999,99999
2010,6,27,15,99999,17,99999,99999,99999,99999
2010,6,27,16,99999,14,99999,99999,99999,99999
2010,6,27,17,99999,14,99999,99999,99999,99999
2010,6,27,18,99999,13,99999,99999,99999,99999
2010,6,27,19,99999,16,99999,99999,99999,99999
2010,6,27,20,99999,19,99999,99999,99999,99999
2010,6,27,21,99999,19,99999,99999,99999,99999
2010,6,27,22,99999,19,99999,99999,99999,99999
2010,6,27,23,99999,24,99999,99999,99999,99999
2010,6,28,0,99999,22,99999,99999,99999,99999
2010,6,28,1,99999,38,99999,99999,99999,99999
2010,6,28,2,99999,25,99999,99999,99999,99999
2010,6,28,3,99999,30,99999,99999,99999,99999
2010,6,28,4,99999,48,99999,99999,99999,99999
2010,6,28,5,99999,30,99999,99999,99999,99999
2010,6,28,6,99999,16,99999,99999,99999,99999
2010,6,28,7,99999,11,99999,99999,99999,99999
2010,6,28,8,99999,20,99999,99999,99999,99999
2010,6,28,9,99999,19,99999,99999,99999,99999
2010,6,28,10,99999,16,99999,99999,99999,99999
2010,6,28,11,99999,14,99999,99999,99999,99999
2010,6,28,12,99999,15,99999,99999,99999,99999
2010,6,28,13,99999,17,99999,99999,99999,99999
2010,6,28,14,99999,17,99999,99999,99999,99999
2010,6,28,15,99999,19,99999,99999,99999,99999
2010,6,28,16,99999,23,99999,99999,99999,99999
2010,6,28,17,99999,9,99999,99999,99999,99999
2010,6,28,18,99999,99999,99999,99999,99999,99999
2010,6,28,19,99999,19,99999,99999,99999,99999
2010,6,28,20,99999,19,99999,99999,99999,99999
2010,6,28,21,99999,18,99999,99999,99999,99999
2010,6,28,22,99999,16,99999,99999,99999,99999
2010,6,28,23,99999,20,99999,99999,99999,99999
2010,6,29,0,99999,15,99999,99999,99999,99999
2010,6,29,1,99999,12,99999,99999,99999,99999
2010,6,29,2,99999,17,99999,99999,99999,99999
2010,6,29,3,99999,22,99999,99999,99999,99999
2010,6,29,4,99999,15,99999,99999,99999,99999
2010,6,29,5,99999,13,99999,99999,99999,99999
2010,6,29,6,99999,19,99999,99999,99999,99999
2010,6,29,7,99999,18,99999,99999,99999,99999
2010,6,29,8,99999,16,99999,99999,99999,99999
2010,6,29,9,99999,13,99999,99999,99999,99999
2010,6,29,10,99999,13,99999,99999,99999,99999
2010,6,29,11,99999,13,99999,99999,99999,99999
2010,6,29,12,99999,12,99999,99999,99999,99999
2010,6,29,13,99999,11,99999,99999,99999,99999
2010,6,29,14,99999,9,99999,99999,99999,99999
2010,6,29,15,99999,10,99999,99999,99999,99999
